frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-1.128967e+01
1;0.010000;-1.109455e+01
2;0.020000;-1.118833e+01
3;0.030000;-1.100656e+01
4;0.040000;-1.100560e+01
5;0.050000;-1.118928e+01
6;0.060000;-1.085027e+01
7;0.070000;-1.059055e+01
8;0.080000;-1.062434e+01
9;0.090000;-1.095510e+01
10;0.100000;-1.113053e+01
11;0.110000;-1.103856e+01
12;0.120000;-1.077420e+01
13;0.130000;-1.064388e+01
14;0.140000;-1.067184e+01
15;0.150000;-1.081559e+01
16;0.160000;-1.074010e+01
17;0.170000;-1.036182e+01
18;0.180000;-1.018926e+01
19;0.190000;-9.955549e+00
20;0.200000;-9.535241e+00
21;0.210000;-9.324873e+00
22;0.220000;-9.365898e+00
23;0.230000;-9.451221e+00
24;0.240000;-9.543677e+00
25;0.250000;-9.537974e+00
26;0.260000;-9.414087e+00
27;0.270000;-9.277110e+00
28;0.280000;-9.194020e+00
29;0.290000;-9.297602e+00
30;0.300000;-9.257748e+00
31;0.310000;-7.999101e+00
32;0.320000;-6.905029e+00
33;0.330000;-6.507233e+00
34;0.340000;-6.397077e+00
35;0.350000;-6.563570e+00
36;0.360000;-6.587762e+00
37;0.370000;-6.596374e+00
38;0.380000;-6.600530e+00
39;0.390000;-6.629245e+00
40;0.400000;-6.624877e+00
41;0.410000;-6.590170e+00
42;0.420000;-6.709471e+00
43;0.430000;-6.770850e+00
44;0.440000;-6.815559e+00
45;0.450000;-6.848085e+00
46;0.460000;-6.915810e+00
47;0.470000;-6.934417e+00
48;0.480000;-6.898145e+00
49;0.490000;-6.864438e+00
50;0.500000;-6.801251e+00
51;0.510000;-6.942241e+00
52;0.520000;-6.957705e+00
53;0.530000;-6.984956e+00
54;0.540000;-6.974334e+00
55;0.550000;-7.031046e+00
56;0.560000;-6.935610e+00
57;0.570000;-6.844608e+00
58;0.580000;-6.747208e+00
59;0.590000;-6.693142e+00
60;0.600000;-6.742528e+00
61;0.610000;-6.727360e+00
62;0.620000;-6.613227e+00
63;0.630000;-6.765553e+00
64;0.640000;-6.795464e+00
65;0.650000;-6.664204e+00
66;0.660000;-6.641680e+00
67;0.670000;-6.851170e+00
68;0.680000;-7.184803e+00
69;0.690000;-7.285858e+00
70;0.700000;-6.838126e+00
71;0.710000;-6.494249e+00
72;0.720000;-6.398687e+00
73;0.730000;-6.260027e+00
74;0.740000;-6.308896e+00
75;0.750000;-6.336440e+00
76;0.760000;-6.845817e+00
77;0.770000;-6.840154e+00
78;0.780000;-6.890703e+00
79;0.790000;-7.016770e+00
80;0.800000;-7.071048e+00
81;0.810000;-6.782736e+00
82;0.820000;-6.304269e+00
83;0.830000;-6.255231e+00
84;0.840000;-6.351096e+00
85;0.850000;-6.353068e+00
86;0.860000;-6.498962e+00
87;0.870000;-6.719639e+00
88;0.880000;-6.893316e+00
89;0.890000;-6.926711e+00
90;0.900000;-6.874253e+00
91;0.910000;-6.544274e+00
92;0.920000;-6.541127e+00
93;0.930000;-6.645293e+00
94;0.940000;-6.819880e+00
95;0.950000;-6.918560e+00
96;0.960000;-6.771726e+00
97;0.970000;-6.739695e+00
98;0.980000;-6.760010e+00
99;0.990000;-6.801124e+00
100;1.000000;-6.798134e+00
101;1.010000;-6.785047e+00
102;1.020000;-6.726728e+00
103;1.030000;-6.658506e+00
104;1.040000;-6.823504e+00
105;1.050000;-6.476469e+00
106;1.060000;-4.353099e+00
107;1.070000;-3.572101e+00
108;1.080000;-2.771249e+00
109;1.090000;-2.705047e+00
110;1.100000;-2.661505e+00
111;1.110000;-2.500084e+00
112;1.120000;-2.546887e+00
113;1.130000;-2.854184e+00
114;1.140000;-3.050175e+00
115;1.150000;-2.611699e+00
116;1.160000;-2.738595e+00
117;1.170000;-3.345270e+00
118;1.180000;-4.012631e+00
119;1.190000;-3.996551e+00
120;1.200000;-4.165964e+00
121;1.210000;-4.181477e+00
122;1.220000;-3.888081e+00
123;1.230000;-3.898785e+00
124;1.240000;-4.123274e+00
125;1.250000;-4.315492e+00
126;1.260000;-4.042907e+00
127;1.270000;-4.034600e+00
128;1.280000;-4.125628e+00
129;1.290000;-4.347076e+00
130;1.300000;-4.187591e+00
131;1.310000;-3.249370e+00
132;1.320000;-2.752196e+00
133;1.330000;-2.536777e+00
134;1.340000;-2.674497e+00
135;1.350000;-2.626624e+00
136;1.360000;-1.995044e+00
137;1.370000;-1.910712e+00
138;1.380000;-2.113375e+00
139;1.390000;-2.491624e+00
140;1.400000;-2.468738e+00
141;1.410000;-2.793761e+00
142;1.420000;-3.199939e+00
143;1.430000;-3.930260e+00
144;1.440000;-4.306830e+00
145;1.450000;-4.120830e+00
146;1.460000;-3.590871e+00
147;1.470000;-3.537614e+00
148;1.480000;-3.881140e+00
149;1.490000;-4.627776e+00
150;1.500000;-5.264765e+00
151;1.510000;-5.010077e+00
152;1.520000;-5.125130e+00
153;1.530000;-4.581346e+00
154;1.540000;-4.535577e+00
155;1.550000;-4.289011e+00
156;1.560000;-3.922976e+00
157;1.570000;-3.600566e+00
158;1.580000;-3.909902e+00
159;1.590000;-4.480330e+00
160;1.600000;-4.743440e+00
161;1.610000;-4.085031e+00
162;1.620000;-3.897257e+00
163;1.630000;-4.040501e+00
164;1.640000;-4.668132e+00
165;1.650000;-4.528261e+00
166;1.660000;-4.491946e+00
167;1.670000;-4.348514e+00
168;1.680000;-4.468075e+00
169;1.690000;-4.904992e+00
170;1.700000;-5.127822e+00
171;1.710000;-4.867197e+00
172;1.720000;-4.870121e+00
173;1.730000;-5.011930e+00
174;1.740000;-4.963066e+00
175;1.750000;-4.840838e+00
176;1.760000;-4.864908e+00
177;1.770000;-4.616899e+00
178;1.780000;-4.532188e+00
179;1.790000;-4.826717e+00
180;1.800000;-4.621861e+00
181;1.810000;-4.565646e+00
182;1.820000;-4.528163e+00
183;1.830000;-4.716336e+00
184;1.840000;-4.715582e+00
185;1.850000;-4.455016e+00
186;1.860000;-3.857851e+00
187;1.870000;-3.864741e+00
188;1.880000;-4.503748e+00
189;1.890000;-3.910299e+00
190;1.900000;-3.921035e+00
191;1.910000;-3.912531e+00
192;1.920000;-4.479879e+00
193;1.930000;-3.756944e+00
194;1.940000;-2.765851e+00
195;1.950000;-2.493001e+00
196;1.960000;-2.263968e+00
197;1.970000;-2.256877e+00
198;1.980000;-1.893195e+00
199;1.990000;-2.039687e+00
200;2.000000;-2.394024e+00
201;2.010000;-3.059298e+00
202;2.020000;-3.177032e+00
203;2.030000;-3.092567e+00
204;2.040000;-3.061438e+00
205;2.050000;-3.403766e+00
206;2.060000;-4.223563e+00
207;2.070000;-4.484710e+00
208;2.080000;-4.442702e+00
209;2.090000;-4.326771e+00
210;2.100000;-4.763779e+00
211;2.110000;-4.635674e+00
212;2.120000;-4.575517e+00
213;2.130000;-4.455885e+00
214;2.140000;-4.060337e+00
215;2.150000;-4.120727e+00
216;2.160000;-5.001868e+00
217;2.170000;-4.900581e+00
218;2.180000;-5.031807e+00
219;2.190000;-4.903412e+00
220;2.200000;-4.811193e+00
221;2.210000;-5.007327e+00
222;2.220000;-4.632031e+00
223;2.230000;-4.969992e+00
224;2.240000;-4.516392e+00
225;2.250000;-4.481843e+00
226;2.260000;-4.426084e+00
227;2.270000;-4.886276e+00
228;2.280000;-4.952332e+00
229;2.290000;-5.411814e+00
230;2.300000;-5.425862e+00
231;2.310000;-5.284116e+00
232;2.320000;-4.929637e+00
233;2.330000;-4.996347e+00
234;2.340000;-4.836572e+00
235;2.350000;-4.969027e+00
236;2.360000;-4.534851e+00
237;2.370000;-4.270261e+00
238;2.380000;-4.076230e+00
239;2.390000;-4.548801e+00
240;2.400000;-4.431437e+00
241;2.410000;-4.808563e+00
242;2.420000;-4.964769e+00
243;2.430000;-4.940015e+00
244;2.440000;-4.781444e+00
245;2.450000;-4.931286e+00
246;2.460000;-5.029194e+00
247;2.470000;-5.087100e+00
248;2.480000;-4.967010e+00
249;2.490000;-5.052332e+00
250;2.500000;-4.993867e+00
251;2.510000;-4.976103e+00
252;2.520000;-4.710017e+00
253;2.530000;-4.809653e+00
254;2.540000;-4.734216e+00
255;2.550000;-3.811781e+00
256;2.560000;-3.730438e+00
257;2.570000;-4.171951e+00
258;2.580000;-5.104632e+00
259;2.590000;-5.287978e+00
260;2.600000;-5.291808e+00
261;2.610000;-5.272961e+00
262;2.620000;-5.284486e+00
263;2.630000;-5.243888e+00
264;2.640000;-5.680631e+00
265;2.650000;-6.363807e+00
